objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Flori Tulli's Grad Project Proposal - 2023-02-17.14-08-53.MP4,,,Flori Tulli's Non-thesis project proposal,"Tulli, Flori",2023-02-17,Zoom recording of Flori Tulli's non-thesis project proposal. Video capture done by Scott Slovic.,,"Moscow, Idaho",,,,,,video/mp4,eng,,
coll002,SB1211.pdf,,,2021 Legislation: Senate Bill 1211,Idaho State Legislature,2021-05-05,Updated wolf control legistlation for Idaho.,,Idaho,,,,,,application/pdf,eng,,
coll003,https://idfg.idaho.gov/wildlife/wolf/recovery-reintroduction,,,Wolf Management / Status Timeline: Idaho Fish and Game,Idaho Department of Fish and Game,2018,"Timeline of wolf reintroduction and management in Idaho, Montana, and Wyoming.",,Idaho,,,,,,record,eng,,
coll004,https://idfg.idaho.gov/regions,,,Regions: Idaho Fish and Game,Idaho Department of Fish and Game,2023,Fish & Game regions of Idaho.,,Idaho,,,,,,record,eng,,
coll005,https://forestpolicypub.com/2019/01/25/rmef-funding-a-1000-bounty-per-trapped-and-killed-wolf-in-idaho/,,,The Rocky Mountain Elk Foundation Is Funding a $1000 'Bounty' per Trapped and Killed Wolf in Idaho,"Koehler, Matthew",2020-09-11,Article from The Smokey Wire : National Forest News and Views.,,Idaho,,,,,,record,eng,,
coll006,https://idfg.idaho.gov/d7/question/there-difference-between-idaho-grey-wolf-and-northern-canadian-wolf,,,Is There a Difference between a Idaho Grey Wolf and a Northern Canadian Wolf,"Phillips, Roger",2018-09-26,Q & A with Idaho Department of Fish & Game.,,Idaho,,,,,,record,eng,,
coll007,https://idrange.org/range-stories/north-idaho/wolves-in-idaho/,,,Wolves in Idaho,Idaho Rangeland Resource Commission,2019,Range stories about wolf reintroduction and its impacts in Idaho.,,Idaho,,,,,,record,eng,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,